,GEOID,pickups_intract,NYPDfelony,units,perSQFTvalueC1,newperSQFTvalueC1,Pop_Den,Median_Household_Income,Gini_Index,Ave_Commute_Min,Unemployed_rate_16,Moved_after_2010
136,36047017900,58719.7735,42,,660.0282517,669.8314673,67367.51,45947,0.5096,37,0.095995612,0.322936972
137,36047018000,5789.685178,22,,366.2247442,411.7601396,51647.99,57194,0.4466,48,0.070855615,0.211281071
138,36047018100,62425.89228,54,298,634.9024085,776.0765588,52522.87,80911,0.4569,35,0.092163847,0.356952584
139,36047018200,7354.083381,17,,384.8356054,424.9367921,56349.34,47206,0.4457,43,0.090384615,0.277972028
140,36047018300,50767.21417,37,,550.6754338,681.9692545,50777.05,93625,0.4368,36,0.091096243,0.378420641
141,36047018400,6627.938409,11,,434.2792982,489.0719165,44303.73,76210,0.5019,44,0.062253743,0.200992556
142,36047018501,41074.18056,152,,425.200714,512.8579556,112091.8,17407,0.5755,38,0.330163761,0.219339622
143,36047018600,5024.655845,9,,443.7015042,499.2725321,47466.39,68021,0.4323,42,0.077884615,0.162444113
144,36047018700,31707.08075,66,,477.716334,595.8128256,44997.32,89375,0.5121,38,0.075294118,0.512773723
145,36047018800,7787.1492,32,,392.677436,444.3108715,42557.2,56339,0.4178,48,0.081861958,0.295660949
146,36047019000,9463.442863,63,,351.9575559,398.2394923,62446.57,45132,0.4357,49,0.175572519,0.369509044
147,36047019100,87219.23442,89,,426.5688245,555.6874761,30051,78750,0.4723,38,0.126201923,0.455399061
148,36047019200,9595.133153,49,,378.504026,419.591932,46371.14,38561,0.5316,42,0.038374718,0.238542891
149,36047019300,93029.35426,63,,256.7361088,318.8188922,55318.6,54369,0.4242,34,0.129570747,0.22165189
150,36047019400,6269.056852,40,,397.1605119,423.3385975,54958.5,46071,0.407,47,0.054587156,0.293459552
151,36047019500,47258.39103,29,,524.8378844,694.6741251,79162.67,84187,0.398,40,0.048930772,0.473508087
152,36047019600,6616.314161,58,,383.3192263,429.1138149,70420.85,48382,0.4188,44,0.109002648,0.359947644
153,36047019700,58573.05697,42,,553.523577,695.9767235,53499.61,83650,0.516,41,0.107857491,0.275298554
154,36047019800,4733.333424,10,,404.905337,456.217255,38028.4,61875,0.4465,47,0.035043805,0.199101797
155,36047019900,65160.65385,71,,502.164412,598.6847369,39251.38,67656,0.4574,36,0.028647215,0.360373295
156,36047020000,4738.323872,14,,439.841192,473.6810524,42558.94,58000,0.4239,41,0.066799601,0.236363636
157,36047020100,60488.38133,46,,484.7815911,637.2531948,57388.25,84844,0.4752,38,0.076840215,0.384615384
158,36047020200,4737.297235,8,,463.6448178,503.2410467,40935.59,95152,0.4414,43,0.131952017,0.202786378
159,36047020300,57833.71731,44,,385.7194871,490.8743706,31039.84,106250,0.4266,39,0.131176999,0.465648855
160,36047020400,4736.307345,8,,466.0045807,529.2877092,37408.53,65598,0.4189,42,0.112348178,0.218298555
161,36047020500,65640.86445,35,,518.531888,672.3089163,44547.32,78000,0.4427,38,0.042058387,0.422844176
162,36047020600,5986.560778,20,,441.8059151,495.5965573,41133.6,89743,0.4482,44,0.0972316,0.197633136
163,36047020700,56477.51737,29,,531.6203619,702.8750573,84656.35,97353,0.4618,37,0.053163731,0.296153847
164,36047020800,5035.490417,17,,350.1718894,397.895239,59131.16,56003,0.5122,49,0.089721749,0.246853824
165,36047021000,5270.869187,31,,384.4661743,434.1447673,85392,44722,0.4494,45,0.127366609,0.282578875
166,36047021100,64230.65757,22,,333.9380544,467.6239715,18332.05,43000,0.5286,42,0.091925466,0.436482085
167,36047021200,6705.212271,32,,423.6886408,491.0766378,70248.74,35330,0.4389,54,0.07125,0.324194654
168,36047021300,35348.17509,98,,355.2459899,445.689841,60419.36,38750,0.5019,43,0.206297941,0.294453084
169,36047021400,8491.926011,39,,384.7949255,438.5218277,37578.07,55184,0.4131,51,0.035514019,0.2
170,36047021500,61481.10135,59,,355.4379916,443.2033516,86093.78,61723,0.4781,45,0.039118286,0.321892005
171,36047021600,8502.469656,22,,377.4173423,411.0912162,68654.44,35682,0.449,36,0.046065259,0.162313433
172,36047021700,27754.68815,86,,358.282849,455.2826238,84487.65,54595,0.4628,38,0.101073345,0.386565272
173,36047021800,7978.962305,20,,371.6489992,413.8961101,72027.99,35721,0.5192,28,0.042243263,0.181544634
174,36047021900,34132.03865,59,,321.2016782,408.7449149,63708.3,55758,0.4419,40,0.08310992,0.316713483
175,36047022000,9822.176334,47,,335.4718051,356.2630259,57497.82,30861,0.4463,36,0.054144385,0.252674897
176,36047022100,34816.36714,83,36,280.6416429,357.1205607,73472.76,37140,0.5144,43,0.124249249,0.410780669
177,36047022200,8907.350456,32,,284.7376148,319.0363559,66504.94,35094,0.4473,29,0.052190722,0.28837622
178,36047022400,8876.04705,18,,324.0945351,365.4035003,88233.52,37271,0.4179,39,0.022792023,0.197521301
179,36047022600,7896.279382,33,,329.0868004,375.0322254,40430.21,48269,0.3732,41,0.019493177,0.166077738
180,36047022700,83032.75423,129,100,261.7200122,336.2888946,40072.04,53363,0.4959,38,0.123353819,0.309740715
181,36047022800,8462.553855,16,,345.0685972,402.3713773,52102.13,30913,0.485,32,0.092964824,0.171641791
182,36047022900,59263.65698,43,,297.3314881,360.565379,56975.15,51645,0.4616,37,0.080257511,0.451612903
183,36047023000,7631.540377,22,,333.5769977,391.2746636,65748.71,31102,0.4753,34,0.067443286,0.276842105
184,36047023100,54981.58219,63,,430.224301,557.2544406,56961.73,77039,0.4149,40,0.118165785,0.456624075
185,36047023200,11444.42941,25,,311.9867683,375.6620004,65823.49,33801,0.4356,34,0.068829892,0.157549234
186,36047023300,43074.31039,121,,302.8373886,372.9297521,73295.15,33141,0.5305,39,0.193100862,0.341386554
187,36047023400,8583.805854,16,,299.6978544,348.8479022,78744.74,24978,0.5272,28,0.023994354,0.19956616
188,36047023500,48826.70492,83,,232.4117818,290.9178167,73451.35,45406,0.5247,35,0.065987124,0.35809226
189,36047023600,8587.152889,10,,305.3318868,364.659976,86809.7,24240,0.4581,26,0.054168879,0.180060423
190,36047023800,8588.79985,10,,326.8315066,395.7672444,63147.38,29050,0.5926,37,0.041809459,0.208301307
191,36047024000,8582.106794,19,,328.3525921,385.8549471,68216.6,26823,0.4984,25,0.106809079,0.163362411
192,36047024100,45171.29516,115,,265.3241517,321.0113172,34132.68,60815,0.4421,36,0.058053966,0.481363153
193,36047024200,9679.049872,43,,364.5013122,414.0929581,41287.64,38333,0.4871,35,0.049632353,0.156862745
194,36047024300,38687.63789,57,,282.1721848,336.8155012,71701.27,54505,0.4681,41,0.075320513,0.356446992
195,36047024400,7850.420038,23,,364.8166642,428.8472785,62665.57,48611,0.4908,36,0.070138889,0.285860656
196,36047024500,41821.64799,64,,274.4260262,342.2628836,59840.96,51605,0.4367,42,0.2052383,0.317460317
197,36047024600,8740.201568,37,,403.3057385,461.7895438,47865.64,45417,0.4736,37,0.082517483,0.217750258
198,36047024700,42285.15573,122,,273.8522962,350.4984241,29913.95,42308,0.4865,37,0.123686338,0.372093023
199,36047024800,7823.435236,37,,432.5670431,478.3905455,44964.2,46310,0.4508,40,0.05375603,0.264108352
200,36047024900,42233.7246,83,,252.2646365,333.953406,61069.83,48315,0.4606,42,0.11323764,0.479435958
201,36047025000,7711.43766,35,,420.6323708,444.5465886,22794.09,46190,0.5619,52,0.096695226,0.167330677
202,36047025100,34712.32745,89,,274.0240033,344.6433444,65867.6,27125,0.5961,42,0.232835821,0.248211731
203,36047025200,8056.611787,39,,390.4212146,452.1625595,76253.02,42302,0.4379,42,0.088,0.323413812
204,36047025300,40564.50237,57,554,233.7148318,281.4398454,40649.61,43491,0.5062,40,0.114508783,0.380194518
205,36047025400,7799.751703,14,,408.1109771,462.0122766,62811.92,48261,0.4244,44,0.105162524,0.190033784
206,36047025500,34749.3489,95,,,,98454.48,22500,0.4265,42,0.180783242,0.12032967
207,36047025600,7701.276892,26,,443.8856636,485.9631101,47755.42,53036,0.4881,48,0.07330195,0.142713568
208,36047025700,45397.95331,76,,295.2317505,343.5789922,31130.76,51310,0.4982,39,0.1676783,0.356269113
209,36047025800,7565.392772,26,,379.1941654,411.840953,64284.87,37917,0.484,39,0.11490837,0.252083333
210,36047025901,20111.51675,35,,245.6978638,306.138118,61782.43,41289,0.5104,39,0.157077626,0.450079239
211,36047025902,14937.19653,90,,,,162412.1,16140,0.4863,47,0.482128013,0.254782609
212,36047026000,7238.389394,21,,383.6385062,435.3441029,58633.14,50123,0.388,43,0.105695509,0.202099737
213,36047026100,49984.19617,89,70,238.9385844,287.3642196,64769.83,38859,0.4951,38,0.067357513,0.36938677
214,36047026200,7015.92687,26,,449.9993779,487.0876568,39737.68,57121,0.468,44,0.147461724,0.165809769
215,36047026300,29979.10841,69,,257.6549686,321.0187725,43352.7,39861,0.4856,41,0.111003861,0.421428572
216,36047026400,8420.191397,39,,382.3484841,437.6178515,67615.78,47336,0.4613,54,0.053877551,0.251216545
217,36047026500,40005.98912,59,,262.7914112,334.8995879,57736.31,51050,0.6142,43,0.120671563,0.410764873
218,36047026600,7373.171949,25,,395.9014397,454.0724508,53361.9,50580,0.4503,48,0.121921182,0.286624204
219,36047026700,39994.38551,39,,254.7180992,337.2111326,57314.7,41458,0.5442,41,0.129063098,0.387023336
220,36047026800,7954.144893,22,,375.8854953,429.0723667,53400.32,44548,0.4379,46,0.09881014,0.355776587
221,36047026900,33573.82739,101,,265.9068428,334.0004971,51917.32,48841,0.4769,42,0.135152697,0.337391304
222,36047027000,5955.397378,16,,408.0023433,447.9626267,49073.38,50490,0.4464,50,0.081666667,0.201773836
223,36047027100,60774.06262,67,,258.9214574,324.1890342,24750.21,37104,0.4512,42,0.107426099,0.341062802
224,36047027200,5873.213324,16,,427.0482726,472.8212173,72360.59,50982,0.4461,46,0.094645754,0.352993744
225,36047027300,33844.61459,78,,256.6070077,340.9927302,45830.85,34297,0.5424,38,0.096334186,0.277688604
226,36047027400,7260.653584,12,,413.3179291,468.9238978,48988.55,42266,0.5094,51,0.061940299,0.258964143
227,36047027500,36643.0973,75,,268.6604441,347.410898,69448.59,55990,0.5023,42,0.166245791,0.389480276
228,36047027600,6639.743499,34,,366.325853,401.7090809,74979.91,46194,0.5053,47,0.099459946,0.337489609
229,36047027700,36649.49849,103,,250.7941582,328.683805,79485.22,37875,0.5167,44,0.221647059,0.276291226
230,36047027800,7132.045098,62,,371.6055122,379.3286442,55165.88,47917,0.4658,46,0.181978799,0.245220283
231,36047027900,36607.57877,68,,253.7374119,312.3037918,62604.76,57869,0.4301,47,0.127740705,0.319810683
232,36047028000,4564.616592,24,,352.4322102,372.8950271,29983.9,56974,0.4729,52,0.135504202,0.340322581
233,36047028100,36611.19001,106,,229.8842091,278.1793161,78081.25,25082,0.5362,46,0.192546584,0.303084223
234,36047028200,5586.876045,65,,364.5255156,390.8740036,46207.84,41974,0.4784,54,0.089121082,0.2
235,36047028300,27553.93239,94,,233.0330592,279.6088039,88191.69,32917,0.4978,42,0.22528363,0.354519774
236,36047028400,7300.158393,51,,337.4902484,373.7109566,57742.05,51849,0.4242,48,0.138314785,0.223446105
237,36047028501,19044.15039,62,,186.0975729,239.71573,9116.499,84861,0.3762,42,0.108597285,0.172413793
238,36047028502,27100.40774,91,,,,56739.04,15135,0.472,50,0.284414107,0.133959044
239,36047028600,5718.995984,47,,351.1840157,402.0792983,68260.18,43828,0.4965,53,0.042437923,0.301924026
240,36047028700,33699.06457,101,,259.0054738,317.2941851,48200.53,30755,0.5332,39,0.120830245,0.270137525
241,36047028800,6791.417801,36,,397.3032016,433.7756205,59237.79,41786,0.4701,44,0.056090652,0.34232715
242,36047028900,37410.80738,77,,264.5882759,335.5085091,53341.79,39570,0.4706,45,0.257541899,0.279642058
243,36047029000,6875.981483,72,,343.6819778,394.2325988,67247.41,45179,0.4271,51,0.096374046,0.248213125
244,36047029100,37222.99404,57,,249.4884359,311.018436,44722.77,35521,0.5156,49,0.207883026,0.358024691
245,36047029200,6726.67931,24,,333.2837978,370.9116522,33031.58,42740,0.4898,50,0.093311313,0.31753032
246,36047029300,37181.47153,62,,270.4409895,336.6193234,53954.14,30479,0.5106,40,0.201145767,0.351758794
247,36047029400,8346.798609,65,,337.3944764,388.0027567,34110.89,53625,0.4113,47,0.113984674,0.242225859
