,GEOID,FHVDIFF,NYPDviolationDIFF,NYPDmisdemeanorDIFF,NYPDfelonyDIFF,units,C1DIFF,C2DIFF,Pop_Den_16DIFF,Median_Household_Income_16DIFF,Gini_Index_16DIFF,Ave_Commute_Min_16DIFF,Unemployed_rate_16DIFF,Moved_in_4years_16DIFF,licenseDiff
72,36047010200,1.549242399,0.076923077,0.162162162,0.25,,0.051702912,0.144069222,0.004938279,0.127846007,0.097838137,-0.00670878,-0.002887512,,2
73,36047010400,1.549281787,0.176470588,0.413333333,0.487804878,,0.067893691,0.194646505,-0.005558731,0.009235981,-0.013764475,-0.006669692,-0.374170017,0.719593663,0.625
74,36047010600,1.549265632,-0.37037037,0.06557377,-0.081081081,,0.135050452,0.187127795,-0.088219979,-0.048946204,-0.082666667,-0.060575148,-0.271616783,0.227899189,0.666666667
75,36047010800,1.549259342,-0.0625,0.25,0.034482759,,0.154518715,0.169270606,-0.037262693,-0.001961273,-0.026946743,-0.073167982,-0.097306082,0.033505751,-0.125
76,36047011000,1.549244754,-0.083333333,-0.151898734,-0.222222222,,0.118392138,0.184767643,-0.014032562,0.323848104,-0.051142318,-0.035430157,0.047651169,,1.25
77,36047011200,1.549292573,-0.04,-0.06185567,-0.1,,0.066015765,0.181160378,0.027577756,-0.057438732,0.017034287,-0.141295576,-0.119854783,-0.361582466,-0.333333333
78,36047011400,2.980850411,-0.428571429,0.06,0.035714286,,0.112700832,0.196032461,0.03644441,0.050846658,0.015885417,0.092297863,0.060438608,-0.588194656,0.4
79,36047011600,2.98096968,0.857142857,0.355932203,0.166666667,,0.098200066,0.255159838,-0.019887758,-0.002696253,-0.01703645,-0.01080738,-0.310562745,-0.524319917,0
80,36047011700,1.24690397,-0.153846154,0.319148936,0.25,,0.247414571,0.249568153,0.045624487,0.101478689,0.022104999,-0.019040998,0.380743353,,-0.333333333
81,36047011800,1.549297688,-0.318181818,0.252173913,0.327586207,,0.113561268,0.236584321,-0.026315798,-0.090978472,0.073364008,-0.00818535,-0.270988246,0.022626717,0
82,36047011900,1.246171005,0.037037037,0.234375,0.092307692,,0.248071339,0.167883359,0.024783107,-0.087827984,0.063467492,0.002524756,-0.057969068,-0.117236612,-0.142857143
