,GEOID,pickups_intract,NYPDviolation,NYPDmisdemeanor,NYPDfelony,units,CUR_FV_T_perSQFT_x,NEW_FV_T_perSQFT_x,HousepriceDiffC1,CUR_FV_T_perSQFT_y,NEW_FV_T_perSQFT_y,HousepriceDiffC2,Pop_Den_16,Median_Household_Income_16,Gini_Index_16,Ave_Commute_Min_16,Unemployed_rate_16,Moved_in_4years_16
648,36047090000,21045.61942,84,247,157,,230.3760084,257.8876936,27.5116852,457.6152952,581.4946738,123.8793786,55441.49919,25049,0.5295,40.19352975,0.076175869,0.004060325
649,36047090200,16249.08908,47,119,84,,227.9100246,236.0953098,8.1852852,383.8628716,499.6539326,115.791061,45381.87441,41250,0.4899,46.95381883,0.156316916,0.006042296
650,36047090600,16698.45517,89,257,156,,179.3815259,167.3846558,-11.9968701,307.6378489,393.5419063,85.9040574,53127.07736,14500,0.551,51.86536485,0.148901546,0.005520703
651,36047090800,25277.45426,111,442,279,,155.5663295,155.1167116,-0.4496179,350.7603262,446.9928321,96.2325059,54640.47038,12052,0.5546,44.921875,0.254220457,0.020965383
652,36047091000,18080.46743,69,224,126,,232.6224118,205.5890364,-27.0333754,300.7131753,346.1234281,45.4102528,63519.85022,11014,0.6846,70.90047393,0.254155125,0
653,36047091200,14260.19279,115,315,186,,,,0,476.0275985,627.6225803,151.5949818,107169.5682,21747,0.4263,48.85914595,0.209669921,0.00698677
654,36047091600,18387.55771,42,180,101,,226.2064322,243.9983303,17.7918981,325.3045947,412.6908531,87.3862584,50468.97411,32610,0.4664,44.52868852,0.099051008,0
655,36047091800,17875.0248,18,82,45,,255.0983667,273.0106982,17.9123315,339.5730245,412.6757325,73.102708,34087.24291,30326,0.5095,43.28717949,0.156606852,0.009164223
656,36047092000,20055.98742,44,197,132,,248.3560931,271.9227035,23.5666104,338.925802,413.1463775,74.2205755,35555.76384,39570,0.5707,48.86952636,0.120029455,0.008671415
657,36047092200,13685.60801,19,52,33,,220.3731709,248.2366149,27.863444,526.0611454,603.1180636,77.0569182,46905.11687,39934,0.4156,48.32412523,0.147982063,0.011287478
658,36047092400,21461.35317,62,240,155,,229.6978028,223.4301704,-6.2676324,394.4768289,502.7612289,108.2844,34102.75557,36500,0.4598,45.15224913,0.08539604,0
659,36047092800,13687.66693,30,76,50,,206.890953,224.8317896,17.9408366,328.1004225,420.6277073,92.5272848,49183.9701,51306,0.4141,44.14643399,0.076165463,0
660,36047093000,16901.752,23,55,37,,220.1674382,229.1146898,8.9472516,243.9344619,299.3232561,55.3887942,36657.12661,58914,0.4029,49.27137546,0.113831089,0.002564103
661,36047093200,17300.42452,32,89,42,,267.8879119,278.8855307,10.9976188,363.7423902,456.957836,93.2154458,11627.99611,86563,0.3419,40.20897833,0.134347275,0.015923567
662,36047093400,15469.05007,13,35,20,,269.4277527,282.9557077,13.527955,304.2505038,397.5716323,93.3211285,34866.53976,48941,0.4181,50.1578137,0.079187106,0
663,36047093600,14369.19325,29,51,25,,255.7067204,260.0750544,4.368334,322.9685666,417.326744,94.3581774,29222.0667,72813,0.3879,45.96085409,0.013377926,0
664,36047093800,11409.0946,32,55,33,,226.3288662,247.7239126,21.3950464,350.4754848,462.9026437,112.4271589,45732.97875,38631,0.4714,43.29028926,0.141803279,0.007954043
665,36047094401,19621.80534,29,137,85,,234.8487222,251.5774321,16.7287099,264.2313328,270.2572877,6.0259549,27298.43428,71591,0.3875,49.76485788,0.141176471,0
666,36047094402,5608.520895,20,50,31,,,,0,239.4774652,221.9941016,-17.4833636,70221.76236,17000,0.4711,56.77623991,0.185150376,0
667,36047094600,24516.49055,18,45,28,,239.8647548,262.5243695,22.6596147,275.3476654,336.349563,61.0018976,16655.69401,58026,0.4661,44.27554981,0.107623318,0
668,36047095000,11561.61216,27,87,55,,227.597382,242.657678,15.060296,263.3078235,274.2333146,10.9254911,34740.70582,73472,0.3735,49.76567448,0.098882682,0
669,36047095400,11303.14314,39,113,57,,230.146733,253.2304535,23.0837205,255.2754861,277.1957462,21.9202601,49794.43324,65500,0.4143,52.84509543,0.060911658,0
670,36047095600,11329.67669,31,67,41,,226.5028652,256.3223575,29.8194923,250.7344575,261.5941797,10.8597222,51334.92219,63456,0.4464,50.24261603,0.058410351,0.011958146
671,36047095800,11176.74865,43,71,42,,275.86862,291.6442243,15.7756043,233.5283163,248.7936841,15.2653678,42213.53127,62671,0.4291,53.98058252,0.053345812,0.006325778
672,36047096000,20231.01889,9,63,36,,356.4102564,360.6837607,4.2735043,230.5036569,253.9131254,23.4094685,0,0,0,,,
673,36047096200,8524.523301,9,66,33,,264.5995304,291.5398862,26.9403558,230.9411004,254.477069,23.5359686,29774.30684,70298,0.385,48.46229187,0.038321168,0.002939735
674,36047096400,8420.776135,27,60,36,,266.3298231,279.4767232,13.1469001,232.4099173,251.8229108,19.4129935,27501.41585,58542,0.3919,46.16651418,0.031886625,0
675,36047096600,8641.471991,24,33,19,,288.9108886,305.4859899,16.5751013,202.2280891,228.7869536,26.5588645,34945.56446,63472,0.4914,45.02671756,0.054765292,0
676,36047096800,7106.373868,21,43,23,,305.0543596,305.8997851,0.8454255,196.5703001,232.339256,35.7689559,26296.32359,62308,0.5182,44.5194085,0.1078125,0
677,36047097000,7794.496453,29,54,38,,294.7834925,312.6268504,17.8433579,241.5651253,271.2206177,29.6554924,40026.61215,76094,0.4658,48.7934947,0.091946309,0
