,GEOID,pickups_intract,NYPDviolation,NYPDmisdemeanor,NYPDfelony,units,BBLE_x,CUR_FV_T_x,GR_SQFT_x,NEW_FV_T_x,CUR_FV_T_perSQFT_x,NEW_FV_T_perSQFT_x,BBLE_y,CUR_FV_T_y,GR_SQFT_y,NEW_FV_T_y,CUR_FV_T_perSQFT_y,NEW_FV_T_perSQFT_y,Median_house_Value,Median_Rent,Housing_Units,Total_pop,Pop_Den,Median_Household_Income,Ratio_income_to_poverty_level_under_2,Gini_Index,Ave_Commute_Min,Dropout_16_19,Bachelor_up_25_64,Unemployed_rate_16,Occupied_Housing_Units_2015_,Occupied_Housing_Units_2010_2014,Occupied_Housing_Units_2010_before,Black,White,Asian
428,36047050300,26129.19896,15,63,32,,3027752436,957479.2453,2324.769811,1235946.415,456.4862195,590.2542517,3027768265,874691.036,6350.423423,1007891.802,235.9883868,303.547948,599000,1784,1271,2431,50246.28,69712,616,0.4555,31,0,0.497051887,0.056716418,0.021505376,0.348221671,0.630272953,0,0.890580008,0.031262855
429,36047050400,32957.63929,15,55,30,73,3053176424,771548.8372,1990.911628,977455.814,1420.907318,1776.796902,3053170922,2815834.02,48929.98039,3747919.804,226.2654082,304.461271,472100,1364,2091,4824,53739.69,86771,1093,0.4767,42,0,0.605053191,0.058882236,0.004497751,0.254372814,0.741129435,0.13225539,0.562396352,0.128109453
430,36047050500,35323.86626,53,147,95,,3030546157,590727.2727,3583.25,723840.9091,189.9710097,234.3716103,3030548807,1680928.032,18027.66667,1880960.317,272.8441335,348.5348455,569600,907,2000,4289,65570.67,30216,2464,0.4877,37,0.065656566,0.393429801,0.125847458,0.006625892,0.310907238,0.682466871,0.213569597,0.458148753,0.094893915
431,36047050600,21808.86824,39,116,65,,3050736080,801711.4094,2629.597315,1024201.342,322.2327019,410.809556,3050744825,1290051.02,19397.53061,1392724.49,460.9903599,567.8071327,644900,1371,2026,5740,90272.52,48583,2651,0.4199,44,0.131086142,0.298722568,0.090096286,0.004197272,0.269674711,0.726128017,0.48728223,0.230313589,0.06097561
432,36047050700,43771.24602,24,94,53,,3022727673,532235.2941,3779.058824,625705.8824,151.4648351,180.0425274,3022667038,697817.3913,13137.41739,858295.6522,201.2646935,251.1408779,482500,1540,565,2417,35846.2,30625,1873,0.4729,26,0.05982906,0.175925926,0.116022099,0,0.25,0.75,0.096400496,0.768721556,0.014480761
433,36047050801,10361.68153,37,159,98,,3050815669,703000,3191.4375,845687.5,251.6416011,310.7281507,3050812541,1909211.538,34864.01923,2038365.385,394.8886038,493.4209585,,1205,1486,3948,130691.1,40417,2119,0.4318,44,0.069230769,0.188728702,0.154153709,0.012987013,0.230710466,0.756302521,0.692502533,0.118287741,0.067122594
434,36047050803,7428.098637,31,104,58,,3050605338,716658.8235,3044.058824,906176.4706,248.6071982,318.117615,3050602096,1250065.217,22210.45652,1368695.652,444.666299,588.7058583,425000,1215,969,2111,97483.59,38807,1172,0.3924,39,0,0.300704777,0.131868132,0.037671233,0.247716895,0.714611872,0.584557082,0.234486026,0.031738513
435,36047050804,13651.96538,37,113,75,,3050594716,1028117.647,3198.941176,1334588.235,330.7383622,430.7499846,3050567703,1864682.776,43798.18966,2057620.69,495.0029226,655.0474992,385700,1163,2569,5782,145246.1,50440,2815,0.3798,41,0,0.305993691,0.098610369,0.007131537,0.308637084,0.684231379,0.549982705,0.191110342,0.015046697
436,36047050900,9892.886805,12,53,36,,3022370564,933743.5897,3337.153846,1115666.667,293.7672742,348.6223157,3022406194,464867.1875,13574.46094,647773.4375,184.7978584,187.0413835,644100,1205,719,4104,74965.16,32762,3026,0.5923,26,0.050377834,0.03626943,0.038167939,0.022900763,0.164885496,0.81221374,0.024122807,0.925682261,0
437,36047051001,10189.7628,37,101,58,,3051250046,554000,3564.545455,700090.9091,157.1487991,199.4904746,3051243611,1715189.089,30494.17857,1970692.25,219.71239,294.1690837,,1230,1520,4274,143869.5,44332,1698,0.411,45,0,0.345683587,0.13358209,0,0.287262873,0.712737127,0.729761348,0.157697707,0.010996724
438,36047051002,14179.30902,26,68,35,,3051009900,871000,2426.773585,1112603.774,382.3546903,492.735254,3051008387,1583861.111,27512.52778,1828423.333,303.0980949,380.7973196,955900,1193,1907,5028,121627.9,45982,2208,0.3924,49,0.114285714,0.248896435,0.123407353,0.025364274,0.210469509,0.764166217,0.677804296,0.153540175,0.022275259
439,36047051100,33156.45599,50,134,88,,3030356700,857074.0741,3188.111111,1068370.37,306.460964,386.2823238,3030378412,1382355.932,17513.22881,1584550.847,274.1604996,353.4352974,543100,982,1794,3798,61864.95,31047,2152,0.5304,41,0,0.355274262,0.08356676,0.029120559,0.31042516,0.660454281,0.097419695,0.543180621,0.159294365
440,36047051200,18525.25806,39,120,68,,3051110050,1284707.407,3303.555556,1578925.926,394.0344689,492.168311,3051138772,2046018.182,47175.12727,2244781.818,253.5618216,331.1505505,575000,1200,2540,6103,113000.2,36661,2869,0.4838,48,0.268041237,0.35530086,0.091545012,0.00697579,0.245794009,0.747230201,0.651810585,0.104211044,0.010158938
441,36047051300,179365.4165,37,168,99,,3026633236,905587.3786,2492.854369,1174330.097,404.4088263,526.3954106,3025829299,1200415,10193.025,1430293.97,258.6905291,316.8283289,755100,1733,2134,4458,44523.58,66951,1428,0.413,34,0.024096386,0.545772595,0.050154799,0,0.378582202,0.621417798,0.02803948,0.751906685,0.066846119
442,36047051400,23981.8549,46,126,80,,3051504102,1029416.667,3246.802083,1263635.417,323.1167059,398.3659304,3051554279,1755441.558,34593.71429,2046974.026,262.9690943,346.9268257,318800,1335,2872,7261,103853,45685,2907,0.4401,40,0,0.368526339,0.108977436,0.006906579,0.199563795,0.793529626,0.519625396,0.2002479,0.042831566
443,36047051500,160293.1066,14,63,43,,3027315553,835894.7368,2774.710526,1075921.053,329.1691345,432.6292254,3027289879,1939722.222,15224.46667,2164924.444,242.796603,308.2961564,747300,2042,842,1367,18969.64,96146,179,0.4732,36,0,0.839091807,0.034280118,0.008053691,0.44295302,0.548993289,0.054864667,0.722750549,0.084125823
444,36047051601,15368.15677,46,118,69,,3052185163,621350,2455.166667,786791.6667,275.3000486,350.0086172,3052151152,1130109.589,23798.0274,1317863.288,249.7056098,299.2193863,,1198,1977,5186,115747.4,34241,2860,0.3897,43,0,0.265211167,0.100789771,0.008221994,0.300102775,0.691675231,0.738526803,0.085807944,0.060161975
445,36047051602,12053.31945,26,113,77,,3051730720,713542.3729,3198.508475,863796.6102,232.878402,283.2147311,3051761523,1551250,27831.21154,1822403.846,253.5221796,327.6250042,,1205,1395,3819,108677.4,38813,1872,0.4003,44,0.255813953,0.20010395,0.088251517,0.021721641,0.273531778,0.704746581,0.831369468,0.053678974,0.004189578
