,GEOID,pickups_intract,NYPDviolation,NYPDmisdemeanor,NYPDfelony,units,CUR_FV_T_perSQFT_x,NEW_FV_T_perSQFT_x,CUR_FV_T_perSQFT_y,NEW_FV_T_perSQFT_y,Pop_Den_15,Median_Household_Income_15,Gini_Index_15,Ave_Commute_Min_15,Unemployed_rate_15,Moved_in_4years_15,Pop_Den_16,Median_Household_Income_16,Gini_Index_16,Ave_Commute_Min_16,Unemployed_rate_16,Moved_in_4years_16,Pop_Den_16DIFF,Median_Household_Income_16DIFF,Gini_Index_16DIFF,Ave_Commute_Min_16DIFF,Unemployed_rate_16DIFF,Moved_in_4years_16DIFF
144,36047018700,31707.08075,17,82,66,,477.716334,595.8128256,271.8610559,329.2910489,44997.32,89375,0.5121,38,0.075294118,0.016370107,47111.07128,79659,0.5896,36.34897361,0.08423586,0.016315432,2113.75128,-9716,0.0775,-1.65102639,0.008941742,-5.4675E-05
145,36047018800,7787.1492,5,52,32,,392.677436,444.3108715,224.8500563,247.3140529,42557.2,56339,0.4178,48,0.081665332,0.034676007,41847.67152,61321,0.428,46.85866013,0.064684015,0.044081052,-709.52848,4982,0.0102,-1.14133987,-0.016981317,0.009405045
146,36047019000,9463.442863,21,94,63,,351.9575559,398.2394923,231.9785461,268.4289197,62446.57,45132,0.4357,49,0.175572519,0.009471192,59819.29101,42770,0.4414,48.54146341,0.172080433,0.006792919,-2627.27899,-2362,0.0057,-0.45853659,-0.003492086,-0.002678273
147,36047019100,87219.23442,22,133,89,,426.5688245,555.6874761,321.4072598,368.4047991,30051,78750,0.4723,38,0.126201923,0.007652174,27710.7064,82755,0.4709,35.86856264,0.097560976,0.01103081,-2340.2936,4005,-0.0014,-2.13143736,-0.028640947,0.003378636
148,36047019200,9595.133153,10,88,49,,378.504026,419.591932,202.1074234,260.4676716,46371.14,38561,0.5316,42,0.038374718,0.008279125,47899.56191,39464,0.521,39.76497346,0.03064861,0.008890163,1528.42191,903,-0.0106,-2.23502654,-0.007726108,0.000611038
149,36047019300,93029.35426,27,100,63,,256.7361088,318.8188922,312.4550928,355.773418,55318.6,54369,0.4242,34,0.129570747,0,56566.89675,53750,0.4269,34.61318795,0.124526714,0,1248.29675,-619,0.0027,0.61318795,-0.005044033,0
150,36047019400,6269.056852,23,67,40,,397.1605119,423.3385975,241.3787587,300.1762822,54958.5,46071,0.407,47,0.054587156,0.002961766,55713.33905,39552,0.44,42.40710824,0.091334895,0.002675227,754.83905,-6519,0.033,-4.59289176,0.036747739,-0.000286539
151,36047019500,47258.39103,12,45,29,,524.8378844,694.6741251,300.0135872,335.8466373,79162.67,84187,0.398,40,0.048930772,0,73454.19188,78984,0.4168,40.66604565,0.043412034,0,-5708.47812,-5203,0.0188,0.66604565,-0.005518738,0
152,36047019600,6616.314161,13,85,58,,383.3192263,429.1138149,224.0769699,269.0773049,70420.85,48382,0.4188,44,0.109002648,0,66624.72408,40634,0.4283,43.37391775,0.123784262,0,-3796.12592,-7748,0.0095,-0.62608225,0.014781614,0
153,36047019700,58573.05697,6,74,42,,553.523577,695.9767235,264.8591732,312.2690831,53499.61,83650,0.516,41,0.107857491,0,55390.7001,88567,0.5168,39.91242038,0.071462153,0,1891.0901,4917,0.0008,-1.08757962,-0.036395338,0
154,36047019800,4733.333424,4,19,10,,404.905337,456.217255,264.1897665,280.3647584,38028.4,61875,0.4465,47,0.035043805,0.012807377,36086.60824,60417,0.468,47.20467033,0.031847134,0.016666667,-1941.79176,-1458,0.0215,0.20467033,-0.003196671,0.00385929
155,36047019900,65160.65385,35,116,71,,502.164412,598.6847369,220.0515791,266.1610385,39251.38,67656,0.4574,36,0.028647215,0,47353.92076,79097,0.4661,36.3498818,0.050189793,0,8102.54076,11441,0.0087,0.3498818,0.021542578,0
156,36047020000,4738.323872,4,20,14,,439.841192,473.6810524,211.1335392,224.7760299,42558.94,58000,0.4239,41,0.066799601,0.015916326,44191.38947,55972,0.4391,43.49182004,0.042201835,0.014004376,1632.44947,-2028,0.0152,2.49182004,-0.024597766,-0.00191195
157,36047020100,60488.38133,18,86,46,,484.7815911,637.2531948,209.4422563,243.7135622,57388.25,84844,0.4752,38,0.076840215,0.006756757,56531.70628,95441,0.4517,38.41201717,0.07112223,0.007667901,-856.54372,10597,-0.0235,0.41201717,-0.005717985,0.000911144
158,36047020200,4737.297235,11,19,8,,463.6448178,503.2410467,251.4707249,284.4843168,40935.59,95152,0.4414,43,0.131952017,0.02617801,38784.12331,92292,0.4118,46.7695962,0.146013449,0.015523285,-2151.46669,-2860,-0.0296,3.7695962,0.014061432,-0.010654725
159,36047020300,57833.71731,12,68,44,,385.7194871,490.8743706,639.0557093,748.2168322,31039.84,106250,0.4266,39,0.131176999,0.003015682,32658.03348,102281,0.4333,41.05456453,0.094782609,0.002300173,1618.19348,-3969,0.0067,2.05456453,-0.03639439,-0.000715509
160,36047020400,4736.307345,5,15,8,,466.0045807,529.2877092,243.220695,235.6750596,37408.53,65598,0.4189,42,0.112348178,0.002066116,38734.25151,69922,0.4199,39.59227468,0.107906977,0.001996008,1325.72151,4324,0.001,-2.40772532,-0.004441201,-7.0108E-05
