,GEOID,pickups_intract,NYPDfelony,units,perSQFTvalueC2,newperSQFTvalueC2,Pop_Den,Median_Household_Income,Gini_Index,Ave_Commute_Min,Unemployed_rate_16,Moved_after_2010
298,36047035601,1370.638212,27,,286.6847826,338.3152174,104419.7,35954,0.4919,36,0.121052632,0.132278936
527,36047063600,2642.310316,12,,196.4999457,208.213859,30561.87,93214,0.3687,40,0.095744681,0.06504065
284,36047034000,2764.895132,38,,237.961758,251.5335853,43255,17574,0.4559,50,0.176672384,0.082317073
549,36047068600,3421.294942,69,,240.0960276,277.1062464,29048.69,51800,0.4057,46,0.124567474,0.254310345
536,36047065400,3502.271253,10,,184.3800322,210.3462158,30169.21,89750,0.4542,40,0.044018059,0.055555556
533,36047064800,3502.377454,16,,247.6614777,242.5544763,32784.66,63393,0.3689,47,0.078212291,0.171032357
539,36047066000,3520.518544,9,,197.9423868,232.7160494,34994.78,87708,0.4598,42,0.052023121,0.127753304
538,36047065800,3544.65204,16,,204.2682632,215.6559262,32998.64,81932,0.4318,42,0.067692308,0.185495119
529,36047064000,3545.713693,8,,303.5154716,322.033692,34054.57,97241,0.4095,41,0.159744409,0.16609589
537,36047065600,3549.712843,8,,260.2245353,275.2364124,30811.11,82250,0.4035,38,0.062352941,0.154213037
299,36047035602,3729.989506,27,,232.7123835,271.0592793,71651.43,32348,0.5177,45,0.047156727,0.120504973
526,36047063200,3792.039278,8,,185.4407431,213.0430049,32154.86,60139,0.4729,41,0.070229008,0.159489633
532,36047064600,3828.641667,6,,199.5843908,213.1733435,37559.17,89350,0.3798,39,0.08612874,0.166912851
518,36047061003,3888.760577,24,,188.1865059,208.3753145,59810.76,45202,0.4628,38,0.101604278,0.16635514
89,36047012801,4039.922954,48,,220.341568,262.2082649,47169.33,42596,0.5063,48,0.057546145,0.360480641
535,36047065200,4050.424337,16,,209.4597771,235.7722978,18396.89,95368,0.3932,45,0.032986111,0.204868154
259,36047030600,4143.013369,19,,207.0164311,215.0225678,27132.69,60132,0.4696,41,0.075170843,0.218553459
292,36047035000,4185.286099,107,,224.5510817,278.6961288,37018.86,30889,0.4206,37,0.12936345,0.089224434
303,36047036002,4187.725089,34,,218.71261,239.8773717,119665.7,18738,0.538,50,0.12,0.178485287
721,36047114202,4319.709687,37,,502.1750609,636.4272565,60254.44,41352,0.3834,50,0.10572337,0.276548673
337,36047039800,4340.674169,14,,247.6049752,272.4926403,36494.52,52721,0.4484,43,0.110943396,0.349369988
709,36047111000,4368.01525,62,,421.756487,515.7684631,71461.28,16716,0.6146,53,0.221760797,0.250338295
133,36047017600,4388.913978,16,,259.3189964,275.9856631,42201.69,55865,0.4215,50,0.029436501,0.206257242
232,36047028000,4564.616592,24,,220.4085865,249.9914549,29983.9,56974,0.4729,52,0.135504202,0.340322581
531,36047064400,4607.482273,14,,203.23196,218.6612907,36563.07,83125,0.4673,41,0.040898156,0.252858958
302,36047036001,4619.338869,35,,217.0646255,249.3940002,79039.69,22384,0.6161,45,0.128903122,0.120838471
556,36047070000,4666.49981,10,,229.5784088,268.88316,23065.68,66250,0.4889,37,0.086560364,0.253687316
108,36047014800,4689.139524,15,,257.3673951,296.818631,24374.71,56500,0.4887,41,0.08988764,0.214566929
110,36047015000,4690.830805,19,,189.9132523,193.9432296,31854.69,82188,0.4223,40,0.029372497,0.167820069
742,36047118202,4704.171527,43,,303.2470471,346.8161647,57601.58,46048,0.5437,41,0.068235294,0.281179138
54,36047007200,4726.414855,40,,250.0658597,293.3877042,92202.77,37364,0.376,40,0.057193923,0.279620853
154,36047019800,4733.333424,10,,264.1897665,280.3647584,38028.4,61875,0.4465,47,0.035043805,0.199101797
160,36047020400,4736.307345,8,,243.220695,235.6750596,37408.53,65598,0.4189,42,0.112348178,0.218298555
158,36047020200,4737.297235,8,,251.4707249,284.4843168,40935.59,95152,0.4414,43,0.131952017,0.202786378
156,36047020000,4738.323872,14,,211.1335392,224.7760299,42558.94,58000,0.4239,41,0.066799601,0.236363636
741,36047118201,4782.116818,27,,287.5427769,297.7372396,62584.15,42301,0.4269,41,0.054813774,0.406568516
542,36047067000,4813.964646,69,,192.4816357,207.160219,34360.56,60857,0.4284,49,0.131949096,0.154158215
316,36047037401,4827.27093,58,,285.7810909,306.3190251,47935.52,51857,0.5115,43,0.083333333,0.286346048
